Policy_ID,Customer_ID,Married_Premium_Discount,Prior_Insurance,Prior_Insurance_Premium_Adjustment,Policy_Type,Policy_Adjustment,Premium_Amount,Total_Discounts,Time_Since_First_Contact,Conversion_Status,Website_Visits,Inquiries,Quotes_Requested,Time_to_Conversion,Premium_Adjustment_Credit,Premium_Adjustment_Region
P25,25,0,1-5 years,50,Full Coverage,0,2300,0,2,0,2,4,2,99,50,0
P26,26,0,>5 years,0,Liability-Only,-200,2200,0,18,1,9,2,2,11,50,100
P27,27,0,1-5 years,50,Liability-Only,-200,2050,0,3,0,6,1,3,99,-50,50
P28,28,0,>5 years,0,Full Coverage,0,2150,50,24,0,6,1,1,99,-50,100
P29,29,86,>5 years,0,Full Coverage,0,2286,0,21,1,6,1,2,5,-50,100
P30,30,0,<1 year,100,Liability-Only,-200,2000,50,13,0,3,1,2,99,-50,50
P31,31,0,1-5 years,50,Full Coverage,0,2350,0,17,1,8,2,1,4,50,100
P32,32,86,1-5 years,50,Full Coverage,0,2236,0,15,1,3,1,3,3,-50,0
P33,33,86,>5 years,0,Full Coverage,0,2236,50,27,0,5,2,2,99,-50,100
P34,34,86,1-5 years,50,Full Coverage,0,2436,0,26,0,4,2,1,99,50,100
P35,35,0,1-5 years,50,Full Coverage,0,2200,50,28,0,4,2,1,99,-50,100
P36,36,0,1-5 years,50,Full Coverage,0,2350,0,3,1,7,2,2,6,50,100
P37,37,86,>5 years,0,Full Coverage,0,2186,0,5,1,6,2,3,3,-50,0
P38,38,0,1-5 years,50,Full Coverage,0,2250,0,30,0,4,3,2,99,50,0
P39,39,86,1-5 years,50,Liability-Only,-200,2186,50,25,1,3,2,3,3,-50,100
P40,40,0,>5 years,0,Full Coverage,0,2100,100,5,1,4,4,1,6,-50,50
P41,41,86,>5 years,0,Full Coverage,0,2286,50,29,1,3,3,3,9,50,50
P42,42,86,>5 years,0,Liability-Only,-200,2036,50,6,0,4,4,2,99,-50,100
P43,43,86,<1 year,100,Full Coverage,0,2186,100,16,1,2,2,1,3,-50,0
P44,44,86,1-5 years,50,Full Coverage,0,2386,0,2,0,4,2,2,99,-50,50
P45,45,0,1-5 years,50,Full Coverage,0,2400,50,30,0,3,2,1,99,50,100
P46,46,0,1-5 years,50,Liability-Only,-200,2050,0,6,0,4,5,1,99,-50,0
P47,47,86,<1 year,100,Full Coverage,0,2386,0,27,0,9,6,2,99,-50,100
P48,48,86,1-5 years,50,Full Coverage,0,2236,50,13,1,3,0,2,1,-50,50
P49,49,86,1-5 years,50,Liability-Only,-200,2186,50,5,0,6,1,3,99,50,100
P50,50,0,1-5 years,50,Liability-Only,-200,2100,0,20,0,3,2,1,99,-50,100
P51,51,0,1-5 years,50,Liability-Only,-200,1950,100,26,1,8,2,1,9,-50,100
P52,52,86,<1 year,100,Liability-Only,-200,2086,50,25,0,3,3,1,99,-50,50
P53,53,0,>5 years,0,Liability-Only,-200,2050,50,24,1,8,1,2,5,50,100
P54,54,86,>5 years,0,Full Coverage,0,2286,100,27,1,2,2,1,9,50,100
P55,55,0,1-5 years,50,Liability-Only,-200,2150,0,30,0,8,4,3,99,50,100
P56,56,0,>5 years,0,Full Coverage,0,2150,50,16,0,6,3,2,99,-50,0
P57,57,0,<1 year,100,Full Coverage,0,2200,0,16,1,4,2,2,3,-50,0
P58,58,0,>5 years,0,Full Coverage,0,2050,50,7,1,5,1,3,1,-50,0
P59,59,0,<1 year,100,Liability-Only,-200,2050,0,20,1,6,2,2,7,-50,50
P60,60,0,1-5 years,50,Full Coverage,0,2250,0,11,1,4,0,1,7,-50,50
P61,61,0,1-5 years,50,Liability-Only,-200,2100,0,3,1,3,4,3,5,50,0
P62,62,86,1-5 years,50,Liability-Only,-200,2036,50,15,1,5,1,1,3,-50,50
P63,63,86,1-5 years,50,Full Coverage,0,2286,0,17,1,4,1,3,2,-50,50
P64,64,86,1-5 years,50,Liability-Only,-200,2136,50,3,0,1,0,2,99,-50,100
P65,65,0,1-5 years,50,Full Coverage,0,2250,0,29,0,6,0,2,99,-50,100
P66,66,86,>5 years,0,Full Coverage,0,2336,50,2,1,6,2,2,1,50,100
P67,67,86,1-5 years,50,Full Coverage,0,2336,0,14,1,6,2,3,13,-50,100
P68,68,86,1-5 years,50,Liability-Only,-200,2086,50,5,1,6,3,2,10,-50,100
P69,69,86,1-5 years,50,Liability-Only,-200,2136,100,24,0,2,4,3,99,-50,50
P70,70,0,>5 years,0,Full Coverage,0,2250,50,4,1,2,2,1,8,50,100
P71,71,0,1-5 years,50,Full Coverage,0,2250,0,12,0,7,0,2,99,-50,100
P72,72,0,1-5 years,50,Full Coverage,0,2300,50,7,0,6,3,2,99,50,100
P73,73,0,1-5 years,50,Full Coverage,0,2200,50,25,0,3,1,3,99,-50,50
P74,74,0,1-5 years,50,Full Coverage,0,2550,0,11,0,4,1,2,99,-50,0
P75,75,86,1-5 years,50,Full Coverage,0,2336,50,20,1,5,0,1,7,50,0
P76,76,86,1-5 years,50,Liability-Only,-200,2036,50,21,1,5,3,2,13,-50,50
P77,77,0,1-5 years,50,Full Coverage,0,2250,0,25,0,2,2,1,99,-50,100
P78,78,86,1-5 years,50,Full Coverage,0,2386,50,2,0,9,4,1,99,50,0
P79,79,86,<1 year,100,Liability-Only,-200,2186,0,2,0,8,1,2,99,-50,50
P80,80,0,1-5 years,50,Full Coverage,0,2200,100,10,0,4,0,3,99,-50,100
P81,81,86,1-5 years,50,Full Coverage,0,2386,0,18,0,6,0,3,99,50,50
P82,82,86,>5 years,0,Liability-Only,-200,2236,0,17,0,9,6,3,99,50,50
P83,83,86,1-5 years,50,Full Coverage,0,2236,0,6,1,4,2,2,3,-50,0
P84,84,86,>5 years,0,Liability-Only,-200,2036,50,11,1,4,1,2,3,-50,100
P85,85,86,<1 year,100,Liability-Only,-200,2086,0,17,1,6,1,1,5,-50,0
P86,86,86,<1 year,100,Full Coverage,0,2286,150,29,1,6,2,2,3,50,0
P87,87,0,>5 years,0,Full Coverage,0,2300,0,30,0,9,4,2,99,50,100
P88,88,0,1-5 years,50,Full Coverage,0,2350,0,21,1,7,2,2,7,50,100
P89,89,86,<1 year,100,Liability-Only,-200,2086,0,27,0,7,2,2,99,-50,0
P90,90,0,1-5 years,50,Full Coverage,0,2150,50,15,0,4,1,2,99,-50,50
P91,91,86,1-5 years,50,Full Coverage,0,2286,0,10,0,3,2,2,99,-50,50
P92,92,86,>5 years,0,Full Coverage,0,2236,50,4,1,6,5,3,3,-50,50
P93,93,86,<1 year,100,Full Coverage,0,2486,0,13,0,3,2,3,99,50,100
P94,94,0,1-5 years,50,Full Coverage,0,2250,0,1,0,4,0,2,99,50,0
P95,95,86,>5 years,0,Full Coverage,0,2236,50,15,1,4,3,2,3,-50,100
P96,96,0,<1 year,100,Full Coverage,0,2300,0,27,1,5,1,1,3,-50,50
P97,97,0,>5 years,0,Full Coverage,0,2200,50,24,0,3,0,2,99,50,50
P98,98,0,1-5 years,50,Liability-Only,-200,1900,50,5,1,9,1,2,7,-50,0
P99,99,0,>5 years,0,Full Coverage,0,2200,0,6,0,5,2,2,99,-50,50
P100,100,0,>5 years,0,Liability-Only,-200,1800,100,7,0,2,2,1,99,-50,0
P101,101,86,<1 year,100,Full Coverage,0,2186,100,8,1,5,1,3,8,-50,0
P102,102,86,>5 years,0,Full Coverage,0,2336,0,12,1,7,2,2,12,-50,50
P103,103,0,>5 years,0,Full Coverage,0,2100,50,15,0,3,1,1,99,-50,0
P104,104,0,<1 year,100,Liability-Only,-200,2150,50,3,0,3,3,2,99,50,100
P105,105,86,<1 year,100,Full Coverage,0,2236,50,22,1,5,4,1,8,-50,0
P106,106,86,>5 years,0,Full Coverage,0,2286,100,9,1,7,1,3,5,-50,0
P107,107,86,1-5 years,50,Full Coverage,0,2486,0,11,1,10,0,1,2,50,50
P108,108,86,<1 year,100,Liability-Only,-200,2436,50,20,0,2,0,1,99,50,100
P109,109,86,1-5 years,50,Full Coverage,0,2286,0,12,0,3,1,2,99,-50,50
P110,110,0,>5 years,0,Full Coverage,0,2100,0,8,1,6,2,2,4,-50,0
P111,111,0,<1 year,100,Full Coverage,0,2400,0,14,0,4,0,3,99,50,100
P112,112,86,1-5 years,50,Liability-Only,-200,2136,0,16,0,4,3,1,99,-50,100
P113,113,0,<1 year,100,Liability-Only,-200,2050,0,3,1,8,1,2,4,-50,50
P114,114,0,<1 year,100,Full Coverage,0,2400,50,1,1,9,4,1,2,50,50
P115,115,86,1-5 years,50,Full Coverage,0,2336,0,18,0,6,2,3,99,50,0
P116,116,86,<1 year,100,Full Coverage,0,2336,50,13,1,6,3,2,8,-50,100
P117,117,0,>5 years,0,Liability-Only,-200,1850,50,12,1,7,1,3,11,-50,0
P118,118,0,>5 years,0,Liability-Only,-200,1800,100,5,1,6,2,1,8,-50,0
P119,119,86,>5 years,0,Full Coverage,0,2236,50,7,1,5,0,2,4,-50,50
P120,120,0,1-5 years,50,Full Coverage,0,2300,0,6,0,1,1,3,99,-50,50
P121,121,86,1-5 years,50,Liability-Only,-200,2086,50,9,1,8,1,1,9,-50,50
P122,122,86,<1 year,100,Liability-Only,-200,2186,0,4,1,3,1,2,5,-50,100
P123,123,86,1-5 years,50,Liability-Only,-200,2036,50,23,1,3,1,2,1,-50,50
P124,124,86,1-5 years,50,Full Coverage,0,2436,50,4,1,6,3,3,9,-50,50
P125,125,0,>5 years,0,Full Coverage,0,2150,0,3,1,6,2,1,10,-50,50
P126,126,0,<1 year,100,Liability-Only,-200,2250,0,6,0,7,1,3,99,50,100
P127,127,86,1-5 years,50,Full Coverage,0,2186,100,27,1,10,2,2,9,-50,50
P128,128,0,>5 years,0,Liability-Only,-200,2100,50,11,0,5,3,3,99,50,50
P129,129,0,1-5 years,50,Liability-Only,-200,2200,0,29,0,7,2,1,99,50,100
P130,130,86,>5 years,0,Full Coverage,0,2286,0,29,1,6,1,3,13,-50,100
P131,131,0,<1 year,100,Full Coverage,0,2400,0,5,0,3,0,3,99,50,50
P132,132,86,1-5 years,50,Full Coverage,0,2336,50,27,1,6,1,1,9,-50,50
P133,133,0,1-5 years,50,Liability-Only,-200,1850,100,26,1,8,2,2,10,-50,0
P134,134,86,>5 years,0,Liability-Only,-200,2136,0,11,1,3,2,3,1,50,50
P135,135,0,<1 year,100,Full Coverage,0,2150,100,8,0,5,1,1,99,-50,0
P136,136,86,1-5 years,50,Full Coverage,0,2336,0,26,0,5,3,1,99,-50,50
P137,137,0,>5 years,0,Full Coverage,0,2150,50,14,1,6,0,3,11,-50,100
P138,138,0,1-5 years,50,Full Coverage,0,2250,0,18,0,4,0,2,99,-50,100
P139,139,86,1-5 years,50,Liability-Only,-200,2186,50,20,0,5,4,2,99,50,50
P140,140,86,1-5 years,50,Full Coverage,0,2486,0,24,1,5,3,2,2,50,100
P141,141,86,>5 years,0,Full Coverage,0,2386,0,29,1,6,1,2,13,50,100
P142,142,0,<1 year,100,Full Coverage,0,2300,0,28,0,3,4,1,99,-50,100
P143,143,86,1-5 years,50,Liability-Only,-200,2236,50,1,1,2,1,1,4,50,100
P144,144,0,1-5 years,50,Full Coverage,0,2200,50,10,0,5,1,3,99,-50,50
P145,145,86,1-5 years,50,Full Coverage,0,2286,0,19,1,9,4,3,13,-50,50
P146,146,86,>5 years,0,Liability-Only,-200,1986,100,7,0,4,0,1,99,50,0
P147,147,86,>5 years,0,Full Coverage,0,2336,50,13,0,6,3,1,99,50,100
P148,148,86,1-5 years,50,Full Coverage,0,2336,0,16,1,5,1,1,11,50,0
P149,149,0,<1 year,100,Liability-Only,-200,2050,50,18,0,6,0,1,99,-50,100
P150,150,0,<1 year,100,Liability-Only,-200,2000,50,23,1,6,2,2,10,-50,0
P151,151,86,1-5 years,50,Full Coverage,0,2436,0,6,1,5,0,1,1,50,100
P152,152,0,1-5 years,50,Liability-Only,-200,2050,0,7,0,7,5,1,99,-50,100
P153,153,86,<1 year,100,Liability-Only,-200,2186,50,24,1,10,3,3,5,50,50
P154,154,0,1-5 years,50,Liability-Only,-200,2000,0,22,1,5,1,2,4,-50,50
P155,155,86,<1 year,100,Liability-Only,-200,2286,0,16,1,4,2,2,2,-50,100
P156,156,0,>5 years,0,Full Coverage,0,2100,50,6,0,1,2,3,99,-50,50
P157,157,0,>5 years,0,Full Coverage,0,2150,0,11,0,4,5,2,99,-50,50
P158,158,86,1-5 years,50,Liability-Only,-200,2036,50,7,1,7,3,3,11,-50,50
P159,159,0,<1 year,100,Full Coverage,0,2350,50,18,1,3,3,3,11,50,100
P160,160,86,>5 years,0,Full Coverage,0,2336,0,3,0,8,2,2,99,50,50
P161,161,86,>5 years,0,Full Coverage,0,2236,0,26,1,9,2,3,13,-50,50
P162,162,86,1-5 years,50,Liability-Only,-200,2536,50,17,0,6,4,2,99,50,50
P163,163,86,>5 years,0,Full Coverage,0,2336,0,30,1,3,6,2,12,-50,100
P164,164,86,>5 years,0,Liability-Only,-200,2086,0,24,0,7,1,1,99,-50,100
P165,165,86,1-5 years,50,Liability-Only,-200,2286,50,16,1,1,5,3,2,50,0
P166,166,86,1-5 years,50,Liability-Only,-200,2186,0,19,1,6,1,1,2,-50,100
P167,167,86,1-5 years,50,Liability-Only,-200,2136,100,19,0,5,3,2,99,50,100
P168,168,0,1-5 years,50,Full Coverage,0,2250,0,11,1,9,1,3,6,-50,100
P169,169,0,1-5 years,50,Liability-Only,-200,2200,0,1,0,6,0,1,99,50,100
P170,170,86,>5 years,0,Full Coverage,0,2236,50,29,0,4,1,3,99,-50,100
P171,171,86,>5 years,0,Liability-Only,-200,2086,0,22,1,7,4,2,6,-50,100
P172,172,86,1-5 years,50,Full Coverage,0,2286,50,14,1,7,1,1,13,-50,100
P173,173,0,1-5 years,50,Liability-Only,-200,2050,50,30,1,5,1,2,7,-50,100
P174,174,0,1-5 years,50,Full Coverage,0,2350,0,19,1,1,0,1,13,-50,100
P175,175,86,<1 year,100,Liability-Only,-200,2286,50,11,1,8,0,1,2,50,50
P176,176,86,1-5 years,50,Liability-Only,-200,1986,50,20,1,10,2,1,6,-50,0
P177,177,86,>5 years,0,Liability-Only,-200,2586,0,17,1,4,0,2,3,50,100
P178,178,86,1-5 years,50,Full Coverage,0,2436,0,28,0,1,2,3,99,50,100
P179,179,0,1-5 years,50,Liability-Only,-200,2150,0,2,1,4,1,3,4,-50,0
P180,180,0,<1 year,100,Full Coverage,0,2250,100,30,1,6,2,3,6,50,50
P181,181,86,1-5 years,50,Liability-Only,-200,2136,50,17,1,1,1,3,1,50,50
P182,182,0,1-5 years,50,Full Coverage,0,2300,50,29,0,6,2,3,99,-50,100
P183,183,86,1-5 years,50,Full Coverage,0,2236,50,6,0,7,6,2,99,-50,50
P184,184,86,1-5 years,50,Liability-Only,-200,2286,50,16,1,3,1,2,6,50,100
P185,185,0,<1 year,100,Liability-Only,-200,2200,0,29,0,5,3,3,99,50,100
P186,186,0,<1 year,100,Liability-Only,-200,2100,0,9,1,3,0,1,1,-50,100
P187,187,86,1-5 years,50,Full Coverage,0,2286,50,30,0,3,5,2,99,-50,50
P188,188,86,<1 year,100,Liability-Only,-200,2136,0,27,0,3,1,3,99,-50,50
P189,189,0,>5 years,0,Full Coverage,0,2300,0,9,1,6,2,2,12,50,100
P190,190,0,<1 year,100,Full Coverage,0,2150,50,23,0,9,3,1,99,-50,0
P191,191,86,1-5 years,50,Full Coverage,0,2236,50,10,0,10,2,2,99,-50,0
P192,192,86,1-5 years,50,Full Coverage,0,2286,50,10,1,5,0,2,5,-50,0
P193,193,86,1-5 years,50,Full Coverage,0,2336,0,6,1,2,5,3,8,-50,100
P194,194,0,>5 years,0,Liability-Only,-200,2100,0,1,1,6,6,1,6,-50,100
P195,195,0,1-5 years,50,Full Coverage,0,2300,0,3,1,3,1,3,10,-50,100
P196,196,86,>5 years,0,Liability-Only,-200,2086,50,29,1,8,4,2,4,-50,100
P197,197,0,1-5 years,50,Liability-Only,-200,2050,0,7,1,3,3,3,2,-50,100
P198,198,0,1-5 years,50,Full Coverage,0,2200,50,21,0,10,1,3,99,-50,100
P199,199,86,>5 years,0,Full Coverage,0,2336,0,28,0,5,3,3,99,50,50
P200,200,86,1-5 years,50,Full Coverage,0,2286,0,9,0,6,1,3,99,-50,50
P201,201,0,1-5 years,50,Full Coverage,0,2250,0,14,0,8,2,2,99,-50,100
P202,202,0,>5 years,0,Full Coverage,0,2350,0,15,1,4,2,2,9,50,100
P203,203,0,>5 years,0,Liability-Only,-200,2000,0,23,1,4,3,3,8,50,0
P204,204,0,1-5 years,50,Full Coverage,0,2150,0,19,1,3,2,2,7,-50,0
P205,205,86,1-5 years,50,Liability-Only,-200,2186,50,10,1,3,2,1,12,50,100
P206,206,86,<1 year,100,Full Coverage,0,2386,0,16,0,5,2,2,99,-50,100
P207,207,0,1-5 years,50,Full Coverage,0,2400,0,1,1,5,1,3,14,50,50
P208,208,86,1-5 years,50,Full Coverage,0,2336,0,28,0,5,0,3,99,-50,100
P209,209,0,>5 years,0,Full Coverage,0,2150,50,7,0,2,1,2,99,-50,100
P210,210,0,1-5 years,50,Liability-Only,-200,2100,0,11,0,3,2,1,99,-50,100
P211,211,0,>5 years,0,Full Coverage,0,2200,0,24,0,4,0,1,99,-50,50
P212,212,86,<1 year,100,Full Coverage,0,2436,100,15,1,5,2,2,11,50,50
P213,213,0,1-5 years,50,Liability-Only,-200,1950,0,13,1,2,2,1,5,-50,0
P214,214,0,>5 years,0,Liability-Only,-200,2100,0,19,1,3,1,2,5,-50,100
P215,215,0,1-5 years,50,Full Coverage,0,2250,0,11,1,8,2,3,6,-50,100
P216,216,86,<1 year,100,Liability-Only,-200,2086,50,13,1,4,3,2,3,-50,50
P217,217,86,1-5 years,50,Liability-Only,-200,2036,100,8,1,8,1,1,9,-50,100
P218,218,86,>5 years,0,Full Coverage,0,2286,0,27,1,6,2,1,2,50,0
P219,219,86,1-5 years,50,Liability-Only,-200,2086,0,22,0,6,1,1,99,-50,50
P220,220,86,1-5 years,50,Full Coverage,0,2386,50,29,0,3,3,1,99,50,100
P221,221,0,1-5 years,50,Full Coverage,0,2200,0,26,0,3,3,2,99,-50,0
P222,222,0,1-5 years,50,Full Coverage,0,2400,100,27,1,3,1,2,3,50,50
P223,223,0,>5 years,0,Liability-Only,-200,1950,0,10,1,5,3,2,13,-50,50
P224,224,0,<1 year,100,Full Coverage,0,2250,50,16,1,4,3,2,3,-50,100
P225,225,86,1-5 years,50,Full Coverage,0,2336,50,17,1,6,1,3,5,-50,100
P226,226,0,1-5 years,50,Full Coverage,0,2150,0,17,1,3,0,3,6,-50,0
P227,227,86,>5 years,0,Liability-Only,-200,2136,0,13,1,8,1,2,10,-50,50
P228,228,86,>5 years,0,Full Coverage,0,2236,50,13,1,9,2,3,13,-50,100
P229,229,86,>5 years,0,Full Coverage,0,2086,100,15,0,3,0,2,99,-50,0
P230,230,0,1-5 years,50,Liability-Only,-200,2000,50,12,1,1,1,1,6,-50,100
P231,231,0,<1 year,100,Liability-Only,-200,2100,0,11,1,3,2,1,14,-50,100
P232,232,86,1-5 years,50,Full Coverage,0,2336,50,1,1,6,3,3,10,50,0
P233,233,0,>5 years,0,Liability-Only,-200,2200,0,3,0,7,3,2,99,50,100
P234,234,86,>5 years,0,Full Coverage,0,2286,50,18,1,8,4,2,3,50,50
P235,235,86,>5 years,0,Full Coverage,0,2486,0,28,0,3,2,2,99,-50,100
P236,236,0,<1 year,100,Full Coverage,0,2250,50,12,0,7,2,2,99,-50,100
P237,237,0,1-5 years,50,Full Coverage,0,2250,100,26,1,0,1,2,12,-50,100
P238,238,0,1-5 years,50,Liability-Only,-200,2000,50,1,0,2,2,3,99,-50,50
P239,239,0,>5 years,0,Full Coverage,0,2250,0,22,1,1,3,2,4,50,50
P240,240,0,1-5 years,50,Full Coverage,0,2300,0,20,1,9,2,1,2,-50,50
P241,241,0,>5 years,0,Full Coverage,0,2150,0,2,1,2,2,3,7,-50,0
P242,242,0,1-5 years,50,Full Coverage,0,2200,100,30,1,3,3,1,6,50,50
P243,243,0,<1 year,100,Liability-Only,-200,2050,0,21,1,2,1,1,12,-50,50
P244,244,0,1-5 years,50,Full Coverage,0,2100,50,18,0,3,2,1,99,-50,0
P245,245,0,<1 year,100,Full Coverage,0,2350,0,1,1,2,3,3,2,-50,100
P246,246,86,1-5 years,50,Liability-Only,-200,2136,100,3,0,4,2,1,99,50,100
P247,247,0,<1 year,100,Liability-Only,-200,2150,100,26,0,7,3,2,99,-50,50
P248,248,86,1-5 years,50,Full Coverage,0,2386,50,10,1,3,4,2,5,50,50
P249,249,86,1-5 years,50,Full Coverage,0,2486,0,16,1,7,3,1,9,50,100
P250,250,0,>5 years,0,Liability-Only,-200,1900,50,28,1,7,4,2,6,-50,50
P251,251,86,>5 years,0,Full Coverage,0,2236,0,15,0,7,4,3,99,-50,50
P252,252,0,1-5 years,50,Liability-Only,-200,2150,0,3,1,5,1,3,5,50,0
P253,253,0,<1 year,100,Full Coverage,0,2200,0,13,1,6,4,1,9,-50,0
P254,254,86,<1 year,100,Liability-Only,-200,2236,0,30,1,6,2,2,5,-50,100
P255,255,86,<1 year,100,Liability-Only,-200,2186,0,24,0,8,2,1,99,50,0
P256,256,0,1-5 years,50,Full Coverage,0,2200,0,7,0,4,2,3,99,-50,50
P257,257,86,<1 year,100,Full Coverage,0,2286,50,30,1,5,1,3,9,-50,50
P258,258,86,>5 years,0,Full Coverage,0,2236,50,11,1,8,1,3,7,-50,100
P259,259,86,1-5 years,50,Full Coverage,0,2386,0,30,1,4,0,2,9,50,50
P260,260,0,>5 years,0,Liability-Only,-200,2000,0,3,1,4,1,3,13,-50,100
P261,261,0,1-5 years,50,Full Coverage,0,2400,50,3,0,3,1,1,99,-50,100
P262,262,0,1-5 years,50,Liability-Only,-200,1900,50,23,1,6,4,2,3,-50,0
P263,263,86,1-5 years,50,Liability-Only,-200,2036,0,15,1,2,3,3,4,-50,0
P264,264,0,>5 years,0,Full Coverage,0,2150,50,2,1,4,1,1,12,-50,100
P265,265,0,>5 years,0,Full Coverage,0,2250,0,7,1,5,2,3,10,50,50
P266,266,86,1-5 years,50,Liability-Only,-200,2136,0,2,1,5,5,1,7,50,0
P267,267,0,1-5 years,50,Full Coverage,0,2400,0,18,0,4,1,1,99,50,100
P268,268,0,1-5 years,50,Full Coverage,0,2350,0,3,1,6,1,1,9,50,100
P269,269,0,>5 years,0,Full Coverage,0,2250,50,23,0,9,2,1,99,-50,100
P270,270,86,1-5 years,50,Full Coverage,0,2336,50,23,0,2,2,3,99,-50,100
P271,271,86,>5 years,0,Full Coverage,0,2236,0,18,0,4,3,2,99,-50,50
P272,272,86,1-5 years,50,Full Coverage,0,2336,50,18,0,6,1,1,99,-50,100
P273,273,86,1-5 years,50,Full Coverage,0,2336,0,19,1,4,1,1,6,-50,100
P274,274,0,1-5 years,50,Full Coverage,0,2250,0,29,1,3,3,1,7,-50,100
P275,275,86,>5 years,0,Full Coverage,0,2386,0,8,0,6,3,3,99,50,50
P276,276,0,>5 years,0,Liability-Only,-200,2200,0,18,0,5,2,3,99,50,100
P277,277,86,1-5 years,50,Liability-Only,-200,2186,0,12,1,5,5,1,4,-50,100
P278,278,86,1-5 years,50,Full Coverage,0,2286,50,12,0,6,3,1,99,-50,100
P279,279,0,1-5 years,50,Full Coverage,0,2450,0,4,1,4,3,2,9,50,100
P280,280,86,<1 year,100,Full Coverage,0,2686,0,22,1,6,3,3,1,50,100
P281,281,0,>5 years,0,Liability-Only,-200,1950,0,11,0,9,0,1,99,-50,50
P282,282,86,1-5 years,50,Liability-Only,-200,2186,0,13,1,5,5,3,5,-50,100
P283,283,86,>5 years,0,Liability-Only,-200,2136,50,15,1,6,1,3,7,50,50
P284,284,0,>5 years,0,Full Coverage,0,2200,0,21,1,4,2,1,10,-50,100
P285,285,0,>5 years,0,Liability-Only,-200,2250,0,10,0,4,3,1,99,-50,50
P286,286,86,1-5 years,50,Full Coverage,0,2286,50,29,1,7,1,2,1,50,0
P287,287,86,1-5 years,50,Full Coverage,0,2236,50,3,1,4,2,2,9,-50,0
P288,288,0,>5 years,0,Full Coverage,0,2150,100,10,0,1,1,3,99,50,50
P289,289,0,<1 year,100,Full Coverage,0,2200,100,19,0,3,1,1,99,-50,100
P290,290,0,1-5 years,50,Full Coverage,0,2350,50,8,1,5,4,3,14,50,100
P291,291,86,>5 years,0,Full Coverage,0,2236,0,4,0,3,1,2,99,-50,50
P292,292,0,1-5 years,50,Liability-Only,-200,2050,0,15,0,4,2,3,99,-50,100
P293,293,86,>5 years,0,Full Coverage,0,2186,100,19,1,3,1,1,2,-50,100
P294,294,86,>5 years,0,Liability-Only,-200,2136,0,4,0,5,1,3,99,-50,100
P295,295,0,>5 years,0,Liability-Only,-200,1850,50,25,0,4,3,1,99,-50,0
P296,296,86,1-5 years,50,Full Coverage,0,2436,0,19,0,9,3,2,99,50,100
P297,297,86,1-5 years,50,Liability-Only,-200,2036,100,28,1,1,7,2,9,-50,100
P298,298,86,1-5 years,50,Full Coverage,0,2286,100,5,0,5,3,1,99,50,50
P299,299,86,>5 years,0,Full Coverage,0,2336,50,26,1,8,1,1,10,50,100
P300,300,0,1-5 years,50,Full Coverage,0,2200,0,9,0,3,2,1,99,-50,50
