Claims_ID,Customer_ID,Claims_Frequency,Claims_Severity,Claims_Adjustment,Policy_Type,Safe_Driver_Discount,Total_Discounts,Conversion_Status,Time_to_Conversion
C129,129,1,Low,50,Liability-Only,0,0,0,99
C130,130,0,High,0,Full Coverage,0,0,1,13
C131,131,1,Low,50,Full Coverage,0,0,0,99
C132,132,2,Low,100,Full Coverage,0,50,1,9
C133,133,0,Medium,0,Liability-Only,1,100,1,10
C134,134,0,Medium,0,Liability-Only,0,0,1,1
C135,135,1,Low,50,Full Coverage,1,100,0,99
C136,136,1,Low,50,Full Coverage,0,0,0,99
C137,137,0,Low,0,Full Coverage,0,50,1,11
C138,138,0,Low,0,Full Coverage,0,0,0,99
C139,139,1,Low,50,Liability-Only,0,50,0,99
C140,140,1,Low,50,Full Coverage,0,0,1,2
C141,141,0,Low,0,Full Coverage,0,0,1,13
C142,142,0,Low,0,Full Coverage,0,0,0,99
C143,143,1,Low,50,Liability-Only,0,50,1,4
C144,144,1,Low,50,Full Coverage,1,50,0,99
C145,145,0,Low,0,Full Coverage,0,0,1,13
C146,146,0,Low,0,Liability-Only,0,100,0,99
C147,147,0,Low,0,Full Coverage,1,50,0,99
C148,148,0,Low,0,Full Coverage,0,0,1,11
C149,149,0,Medium,0,Liability-Only,0,50,0,99
C150,150,1,Low,50,Liability-Only,1,50,1,10
C151,151,0,Medium,0,Full Coverage,0,0,1,1
C152,152,0,Low,0,Liability-Only,0,0,0,99
C153,153,0,Low,0,Liability-Only,0,50,1,5
C154,154,0,Low,0,Liability-Only,0,0,1,4
C155,155,2,Low,100,Liability-Only,0,0,1,2
C156,156,0,Low,0,Full Coverage,1,50,0,99
C157,157,0,Low,0,Full Coverage,0,0,0,99
C158,158,0,Low,0,Liability-Only,0,50,1,11
C159,159,0,Low,0,Full Coverage,0,50,1,11
C160,160,0,Low,0,Full Coverage,0,0,0,99
C161,161,0,Low,0,Full Coverage,0,0,1,13
C162,162,2,High,400,Liability-Only,0,50,0,99
C163,163,1,Low,50,Full Coverage,0,0,1,12
C164,164,0,Low,0,Liability-Only,0,0,0,99
C165,165,1,High,200,Liability-Only,1,50,1,2
C166,166,1,Low,50,Liability-Only,0,0,1,2
C167,167,0,High,0,Liability-Only,1,100,0,99
C168,168,0,Low,0,Full Coverage,0,0,1,6
C169,169,1,Low,50,Liability-Only,0,0,0,99
C170,170,0,Low,0,Full Coverage,0,50,0,99
C171,171,0,Low,0,Liability-Only,0,0,1,6
C172,172,0,Low,0,Full Coverage,1,50,1,13
C173,173,1,Low,50,Liability-Only,0,50,1,7
C174,174,2,Low,100,Full Coverage,0,0,1,13
C175,175,2,Low,100,Liability-Only,0,50,1,2
C176,176,0,Low,0,Liability-Only,0,50,1,6
C177,177,2,High,400,Liability-Only,0,0,1,3
C178,178,0,Low,0,Full Coverage,0,0,0,99
C179,179,2,Medium,200,Liability-Only,0,0,1,4
C180,180,0,Low,0,Full Coverage,1,100,1,6
C181,181,0,Low,0,Liability-Only,0,50,1,1
C182,182,2,Low,100,Full Coverage,1,50,0,99
C183,183,0,Medium,0,Full Coverage,0,50,0,99
C184,184,1,Medium,100,Liability-Only,0,50,1,6
C185,185,0,Low,0,Liability-Only,0,0,0,99
C186,186,0,Low,0,Liability-Only,0,0,1,1
C187,187,1,Low,50,Full Coverage,0,50,0,99
C188,188,0,Low,0,Liability-Only,0,0,0,99
C189,189,0,Low,0,Full Coverage,0,0,1,12
C190,190,0,Medium,0,Full Coverage,0,50,0,99
C191,191,1,Low,50,Full Coverage,0,50,0,99
C192,192,1,Medium,100,Full Coverage,1,50,1,5
C193,193,0,Low,0,Full Coverage,0,0,1,8
C194,194,1,Medium,100,Liability-Only,0,0,1,6
C195,195,1,Low,50,Full Coverage,0,0,1,10
C196,196,1,Low,50,Liability-Only,0,50,1,4
C197,197,0,Low,0,Liability-Only,0,0,1,2
C198,198,0,Low,0,Full Coverage,1,50,0,99
C199,199,0,Low,0,Full Coverage,0,0,0,99
C200,200,0,Medium,0,Full Coverage,0,0,0,99
C201,201,0,Medium,0,Full Coverage,0,0,0,99
C202,202,1,Low,50,Full Coverage,0,0,1,9
C203,203,0,Low,0,Liability-Only,0,0,1,8
C204,204,0,High,0,Full Coverage,0,0,1,7
C205,205,0,Low,0,Liability-Only,0,50,1,12
C206,206,0,Medium,0,Full Coverage,0,0,0,99
C207,207,2,Low,100,Full Coverage,0,0,1,14
C208,208,0,Medium,0,Full Coverage,0,0,0,99
C209,209,0,Low,0,Full Coverage,1,50,0,99
C210,210,1,Low,50,Liability-Only,0,0,0,99
C211,211,1,Low,50,Full Coverage,0,0,0,99
C212,212,1,Medium,100,Full Coverage,1,100,1,11
C213,213,0,Low,0,Liability-Only,0,0,1,5
C214,214,1,Medium,100,Liability-Only,0,0,1,5
C215,215,0,Low,0,Full Coverage,0,0,1,6
C216,216,0,Medium,0,Liability-Only,0,50,1,3
C217,217,0,Low,0,Liability-Only,1,100,1,9
C218,218,0,Low,0,Full Coverage,0,0,1,2
C219,219,0,Medium,0,Liability-Only,0,0,0,99
C220,220,0,Medium,0,Full Coverage,0,50,0,99
C221,221,1,Low,50,Full Coverage,0,0,0,99
C222,222,1,High,200,Full Coverage,1,100,1,3
C223,223,0,Low,0,Liability-Only,0,0,1,13
C224,224,0,Low,0,Full Coverage,0,50,1,3
C225,225,1,Low,50,Full Coverage,0,50,1,5
C226,226,0,Low,0,Full Coverage,0,0,1,6
C227,227,2,Low,100,Liability-Only,0,0,1,10
C228,228,0,Low,0,Full Coverage,1,50,1,13
C229,229,0,Low,0,Full Coverage,1,100,0,99
C230,230,0,Low,0,Liability-Only,0,50,1,6
C231,231,0,Low,0,Liability-Only,0,0,1,14
C232,232,1,Low,50,Full Coverage,1,50,1,10
C233,233,2,Low,100,Liability-Only,0,0,0,99
C234,234,0,Low,0,Full Coverage,0,50,1,3
C235,235,1,High,200,Full Coverage,0,0,0,99
C236,236,0,Low,0,Full Coverage,0,50,0,99
C237,237,1,Medium,100,Full Coverage,1,100,1,12
C238,238,1,Low,50,Liability-Only,0,50,0,99
C239,239,0,Low,0,Full Coverage,0,0,1,4
C240,240,2,Low,100,Full Coverage,0,0,1,2
C241,241,1,Low,50,Full Coverage,0,0,1,7
C242,242,0,High,0,Full Coverage,0,100,1,6
C243,243,0,Low,0,Liability-Only,0,0,1,12
C244,244,0,Low,0,Full Coverage,0,50,0,99
C245,245,1,Low,50,Full Coverage,0,0,1,2
C246,246,0,Low,0,Liability-Only,1,100,0,99
C247,247,2,Medium,200,Liability-Only,1,100,0,99
C248,248,1,Low,50,Full Coverage,0,50,1,5
C249,249,1,Low,50,Full Coverage,0,0,1,9
C250,250,0,High,0,Liability-Only,0,50,1,6
C251,251,0,Low,0,Full Coverage,0,0,0,99
C252,252,2,Low,100,Liability-Only,0,0,1,5
C253,253,0,Low,0,Full Coverage,0,0,1,9
C254,254,1,Low,50,Liability-Only,0,0,1,5
C255,255,0,Low,0,Liability-Only,0,0,0,99
C256,256,0,Low,0,Full Coverage,0,0,0,99
C257,257,0,High,0,Full Coverage,0,50,1,9
C258,258,0,Medium,0,Full Coverage,1,50,1,7
C259,259,0,Low,0,Full Coverage,0,0,1,9
C260,260,0,Low,0,Liability-Only,0,0,1,13
C261,261,4,Low,200,Full Coverage,0,50,0,99
C262,262,0,Low,0,Liability-Only,1,50,1,3
C263,263,0,Low,0,Liability-Only,0,0,1,4
C264,264,0,Medium,0,Full Coverage,0,50,1,12
C265,265,0,Low,0,Full Coverage,0,0,1,10
C266,266,0,Medium,0,Liability-Only,0,0,1,7
C267,267,1,Low,50,Full Coverage,0,0,0,99
C268,268,0,Low,0,Full Coverage,0,0,1,9
C269,269,1,Medium,100,Full Coverage,0,50,0,99
C270,270,1,Low,50,Full Coverage,0,50,0,99
C271,271,0,Medium,0,Full Coverage,0,0,0,99
C272,272,1,Low,50,Full Coverage,0,50,0,99
C273,273,0,Low,0,Full Coverage,0,0,1,6
C274,274,0,Medium,0,Full Coverage,0,0,1,7
C275,275,1,Low,50,Full Coverage,0,0,0,99
C276,276,2,Low,100,Liability-Only,0,0,0,99
C277,277,1,Low,50,Liability-Only,0,0,1,4
C278,278,0,Low,0,Full Coverage,0,50,0,99
C279,279,2,Low,100,Full Coverage,0,0,1,9
C280,280,1,High,200,Full Coverage,0,0,1,1
C281,281,0,Medium,0,Liability-Only,0,0,0,99
C282,282,1,Low,50,Liability-Only,0,0,1,5
C283,283,1,Low,50,Liability-Only,1,50,1,7
C284,284,0,Low,0,Full Coverage,0,0,1,10
C285,285,3,Medium,300,Liability-Only,0,0,0,99
C286,286,0,Low,0,Full Coverage,0,50,1,1
C287,287,1,Low,50,Full Coverage,1,50,1,9
C288,288,0,Low,0,Full Coverage,1,100,0,99
C289,289,0,High,0,Full Coverage,1,100,0,99
C290,290,1,Low,50,Full Coverage,1,50,1,14
C291,291,0,Low,0,Full Coverage,0,0,0,99
C292,292,0,Low,0,Liability-Only,0,0,0,99
C293,293,0,Low,0,Full Coverage,0,100,1,2
C294,294,1,Low,50,Liability-Only,0,0,0,99
C295,295,0,Low,0,Liability-Only,0,50,0,99
C296,296,0,Low,0,Full Coverage,0,0,0,99
C297,297,0,Low,0,Liability-Only,1,100,1,9
C298,298,0,Low,0,Full Coverage,1,100,0,99
C299,299,0,Low,0,Full Coverage,0,50,1,10
C300,300,0,Low,0,Full Coverage,0,0,0,99
C301,301,0,Low,0,Full Coverage,1,50,1,10
C302,302,2,Low,100,Full Coverage,0,50,0,99
C303,303,0,Low,0,Liability-Only,0,50,1,2
C304,304,1,Low,50,Liability-Only,0,0,1,1
C305,305,0,Low,0,Full Coverage,0,0,0,99
C306,306,0,Low,0,Full Coverage,0,50,1,5
C307,307,1,Low,50,Liability-Only,1,100,1,6
C308,308,0,Low,0,Full Coverage,0,50,0,99
C309,309,0,Low,0,Liability-Only,0,50,0,99
C310,310,0,Low,0,Liability-Only,0,100,1,11
C311,311,0,Low,0,Full Coverage,0,0,0,99
C312,312,0,High,0,Full Coverage,0,50,1,11
C313,313,1,Low,50,Liability-Only,0,50,1,10
C314,314,0,Low,0,Full Coverage,0,50,1,11
C315,315,0,Low,0,Full Coverage,1,50,1,8
C316,316,0,Low,0,Full Coverage,0,100,1,12
C317,317,1,Low,50,Full Coverage,1,100,0,99
C318,318,0,Medium,0,Full Coverage,0,0,0,99
C319,319,0,Low,0,Full Coverage,0,50,0,99
C320,320,0,Low,0,Full Coverage,0,0,1,5
C321,321,1,High,200,Liability-Only,1,50,0,99
C322,322,0,Low,0,Liability-Only,0,0,0,99
C323,323,0,Low,0,Full Coverage,0,50,1,11
C324,324,1,Low,50,Liability-Only,0,100,1,6
C325,325,1,Low,50,Full Coverage,1,100,1,5
C326,326,1,Medium,100,Liability-Only,0,0,0,99
C327,327,0,Low,0,Liability-Only,1,100,1,10
C328,328,1,Medium,100,Full Coverage,1,100,0,99
C329,329,0,Medium,0,Full Coverage,0,0,0,99
C330,330,0,Low,0,Full Coverage,0,0,1,6
C331,331,0,Low,0,Liability-Only,0,0,1,2
C332,332,0,Low,0,Full Coverage,0,0,1,3
C333,333,1,Medium,100,Full Coverage,0,0,1,12
C334,334,1,Low,50,Liability-Only,0,0,1,9
C335,335,0,Low,0,Full Coverage,1,50,1,2
C336,336,0,Medium,0,Liability-Only,0,0,1,2
C337,337,2,Low,100,Liability-Only,0,0,0,99
C338,338,0,Low,0,Full Coverage,0,100,1,3
C339,339,1,Low,50,Full Coverage,1,50,1,8
C340,340,1,Low,50,Full Coverage,0,0,1,1
C341,341,1,Low,50,Liability-Only,0,0,1,10
C342,342,2,Medium,200,Liability-Only,0,0,0,99
C343,343,1,Low,50,Full Coverage,0,0,1,5
C344,344,0,Low,0,Liability-Only,0,0,1,2
C345,345,1,Low,50,Full Coverage,0,50,0,99
C346,346,0,Medium,0,Full Coverage,1,100,1,9
C347,347,0,Medium,0,Liability-Only,1,50,1,11
C348,348,0,Low,0,Full Coverage,1,100,1,2
C349,349,1,Low,50,Liability-Only,0,50,0,99
C350,350,0,Medium,0,Full Coverage,0,0,0,99
C351,351,0,Low,0,Full Coverage,0,0,1,2
C352,352,0,Low,0,Full Coverage,0,0,1,8
C353,353,0,Low,0,Full Coverage,1,100,1,1
C354,354,0,Low,0,Full Coverage,0,0,0,99
C355,355,0,Low,0,Full Coverage,1,50,1,6
C356,356,0,Medium,0,Full Coverage,0,0,0,99
C357,357,1,Low,50,Full Coverage,0,0,1,11
C358,358,0,Low,0,Full Coverage,0,50,1,3
C359,359,1,Low,50,Full Coverage,1,50,1,2
C360,360,0,Low,0,Full Coverage,0,50,1,13
C361,361,0,Low,0,Liability-Only,0,0,1,6
C362,362,0,Low,0,Liability-Only,0,100,1,10
C363,363,0,Low,0,Liability-Only,0,0,1,9
C364,364,1,Low,50,Full Coverage,0,100,1,9
C365,365,1,Low,50,Full Coverage,0,100,0,99
C366,366,1,High,200,Full Coverage,0,0,0,99
C367,367,0,Low,0,Full Coverage,0,0,1,2
C368,368,0,Medium,0,Liability-Only,0,50,1,11
C369,369,1,Low,50,Liability-Only,0,0,0,99
C370,370,1,Low,50,Full Coverage,0,50,0,99
C371,371,1,Low,50,Full Coverage,0,50,1,5
C372,372,1,Low,50,Full Coverage,0,0,0,99
C373,373,1,Low,50,Full Coverage,0,0,1,5
C374,374,1,Low,50,Full Coverage,0,50,0,99
C375,375,0,Low,0,Full Coverage,0,50,0,99
C376,376,0,Low,0,Liability-Only,0,0,1,10
C377,377,0,Low,0,Liability-Only,0,0,0,99
C378,378,0,Low,0,Full Coverage,0,50,0,99
C379,379,1,Low,50,Liability-Only,1,100,1,13
C380,380,0,Medium,0,Full Coverage,1,100,0,99
C381,381,1,Low,50,Liability-Only,1,50,1,7
C382,382,1,Low,50,Liability-Only,0,0,1,7
C383,383,0,High,0,Full Coverage,1,50,1,1
C384,384,0,Low,0,Full Coverage,0,50,1,2
C385,385,0,Low,0,Liability-Only,0,50,0,99
C386,386,0,High,0,Full Coverage,0,0,0,99
C387,387,0,Low,0,Full Coverage,0,50,1,2
C388,388,0,Low,0,Full Coverage,0,50,1,10
C389,389,0,Low,0,Full Coverage,0,50,1,2
C390,390,0,Low,0,Liability-Only,0,0,1,3
C391,391,0,High,0,Full Coverage,0,50,0,99
C392,392,0,Low,0,Full Coverage,1,50,0,99
C393,393,4,Low,200,Liability-Only,1,50,1,8
C394,394,0,Low,0,Full Coverage,0,50,1,9
C395,395,0,Low,0,Full Coverage,1,50,1,5
C396,396,1,Low,50,Full Coverage,0,0,1,3
C397,397,0,High,0,Full Coverage,0,50,1,5
C398,398,0,Medium,0,Liability-Only,0,0,0,99
C399,399,1,Low,50,Liability-Only,0,50,1,5
C400,400,0,Low,0,Full Coverage,0,0,0,99
C401,401,0,Low,0,Full Coverage,0,0,0,99
C402,402,1,Low,50,Full Coverage,0,0,0,99
C403,403,0,Low,0,Full Coverage,0,50,0,99
C404,404,0,Medium,0,Liability-Only,1,50,0,99
C405,405,0,Low,0,Liability-Only,0,50,1,12
C406,406,0,Medium,0,Liability-Only,0,0,1,3
C407,407,0,Low,0,Liability-Only,0,0,1,5
C408,408,0,High,0,Full Coverage,0,0,1,14
C409,409,0,Low,0,Liability-Only,0,50,1,14
C410,410,0,Medium,0,Full Coverage,1,100,0,99
C411,411,0,Low,0,Full Coverage,0,50,0,99
C412,412,1,High,200,Full Coverage,0,0,0,99
C413,413,0,Medium,0,Full Coverage,0,0,0,99
C414,414,1,Medium,100,Full Coverage,0,0,1,7
C415,415,0,Low,0,Full Coverage,0,0,1,2
C416,416,0,Low,0,Full Coverage,0,50,0,99
C417,417,2,Low,100,Full Coverage,1,100,0,99
C418,418,1,Low,50,Full Coverage,0,0,1,12
C419,419,1,Medium,100,Full Coverage,1,50,0,99
C420,420,1,Low,50,Liability-Only,0,0,0,99
C421,421,0,Low,0,Full Coverage,0,50,1,4
C422,422,0,Low,0,Full Coverage,0,50,0,99
C423,423,1,Low,50,Liability-Only,0,0,1,12
C424,424,0,Low,0,Full Coverage,1,100,1,8
C425,425,1,Low,50,Full Coverage,1,50,0,99
C426,426,1,Low,50,Full Coverage,0,100,1,7
C427,427,0,Low,0,Liability-Only,0,0,1,8
C428,428,0,Low,0,Liability-Only,1,50,1,1
C429,429,0,High,0,Liability-Only,0,0,1,12
C430,430,1,High,200,Liability-Only,0,50,1,6
C431,431,1,Low,50,Full Coverage,1,50,0,99
C432,432,1,Low,50,Liability-Only,1,50,0,99
C433,433,1,Low,50,Full Coverage,0,0,0,99
C434,434,0,High,0,Full Coverage,0,50,0,99
C435,435,2,Low,100,Liability-Only,0,0,0,99
C436,436,0,Low,0,Liability-Only,1,50,0,99
C437,437,0,Medium,0,Full Coverage,0,0,0,99
C438,438,0,High,0,Full Coverage,0,0,0,99
C439,439,2,Medium,200,Liability-Only,1,50,1,2
C440,440,0,Medium,0,Liability-Only,0,50,1,14
C441,441,1,Medium,100,Full Coverage,0,0,0,99
C442,442,0,Medium,0,Liability-Only,0,50,0,99
C443,443,2,Low,100,Full Coverage,0,0,0,99
C444,444,0,High,0,Liability-Only,0,50,1,5
C445,445,0,Medium,0,Liability-Only,0,0,0,99
C446,446,0,Low,0,Full Coverage,1,50,1,13
C447,447,0,Low,0,Liability-Only,0,0,1,7
C448,448,0,Low,0,Liability-Only,0,0,0,99
C449,449,1,Low,50,Full Coverage,0,50,0,99
C450,450,1,Medium,100,Full Coverage,0,0,0,99
C451,451,0,Low,0,Liability-Only,0,0,0,99
C452,452,1,High,200,Full Coverage,0,0,1,5
C453,453,3,Low,150,Liability-Only,0,0,1,5
C454,454,0,Low,0,Liability-Only,0,50,0,99
C455,455,0,Medium,0,Liability-Only,0,0,0,99
C456,456,1,Low,50,Full Coverage,1,50,0,99
C457,457,1,Medium,100,Liability-Only,0,0,1,10
C458,458,1,Low,50,Full Coverage,0,100,0,99
C459,459,0,High,0,Liability-Only,0,0,0,99
C460,460,1,Low,50,Liability-Only,0,50,1,5
C461,461,0,Low,0,Liability-Only,0,0,0,99
C462,462,0,High,0,Full Coverage,0,0,0,99
C463,463,4,Low,200,Liability-Only,0,50,1,3
C464,464,0,High,0,Full Coverage,0,50,1,9
C465,465,0,Medium,0,Full Coverage,1,100,0,99
C466,466,0,Low,0,Liability-Only,0,0,1,3
C467,467,0,Low,0,Full Coverage,0,50,1,6
C468,468,1,Low,50,Liability-Only,0,50,0,99
C469,469,0,Low,0,Liability-Only,0,0,1,6
C470,470,0,Low,0,Liability-Only,0,50,0,99
C471,471,0,Low,0,Full Coverage,0,0,1,7
C472,472,1,High,200,Liability-Only,0,0,1,10
C473,473,1,Low,50,Full Coverage,1,50,1,8
C474,474,1,Low,50,Liability-Only,1,50,0,99
C475,475,0,Low,0,Full Coverage,0,0,1,5
C476,476,1,Low,50,Full Coverage,0,0,0,99
C477,477,0,Medium,0,Liability-Only,0,50,1,2
C478,478,0,Low,0,Full Coverage,0,0,0,99
C479,479,0,High,0,Liability-Only,0,0,0,99
C480,480,1,Low,50,Liability-Only,0,0,1,3
C481,481,0,Low,0,Full Coverage,0,0,0,99
C482,482,0,Medium,0,Liability-Only,0,100,1,10
C483,483,0,Medium,0,Full Coverage,0,0,0,99
C484,484,0,Medium,0,Liability-Only,1,100,1,6
C485,485,1,Low,50,Liability-Only,0,0,1,9
C486,486,1,Low,50,Liability-Only,1,50,1,9
C487,487,2,Low,100,Full Coverage,0,0,0,99
C488,488,1,Low,50,Liability-Only,0,0,0,99
C489,489,0,Low,0,Liability-Only,0,50,0,99
C490,490,0,Medium,0,Full Coverage,0,0,0,99
C491,491,1,Low,50,Liability-Only,0,50,1,6
C492,492,0,Low,0,Full Coverage,1,50,1,7
C493,493,1,Low,50,Full Coverage,0,50,1,9
C494,494,0,Low,0,Full Coverage,0,50,1,14
C495,495,1,Low,50,Full Coverage,0,0,0,99
C496,496,0,Medium,0,Liability-Only,0,50,1,9
C497,497,1,High,200,Liability-Only,0,0,0,99
C498,498,0,Low,0,Liability-Only,0,50,1,12
C499,499,0,Low,0,Liability-Only,0,0,1,6
C500,500,1,Medium,100,Liability-Only,1,100,1,9
C501,501,0,Low,0,Full Coverage,1,100,1,13
C502,502,0,Low,0,Full Coverage,1,100,0,99
C503,503,0,Low,0,Liability-Only,1,50,1,3
C504,504,1,Low,50,Liability-Only,0,0,0,99
C505,505,1,Medium,100,Liability-Only,1,50,1,14
C506,506,0,High,0,Liability-Only,0,50,1,11
C507,507,0,Low,0,Full Coverage,0,50,1,6
C508,508,0,Low,0,Full Coverage,0,0,0,99
C509,509,0,Low,0,Liability-Only,1,50,0,99
C510,510,1,Low,50,Full Coverage,0,0,0,99
